course_name,day_num,unit_num,unit_descr,lesson_num,lesson_descr,std,std_descr,notes
Python I Programming Honors,1,0,Setup and intros,1,,,,
Python I Programming Honors,2,0,Setup and intros,2,,,,
Python I Programming Honors,3,0,Setup and intros,3,,,,
Python I Programming Honors,4,1,"Ethics, Security and History of Computer Programming",1,,,,
Python I Programming Honors,5,1,"Ethics, Security and History of Computer Programming",2,,,,
Python I Programming Honors,6,1,"Ethics, Security and History of Computer Programming",4,,,,
Python I Programming Honors,7,2,Problem Solving With Computers,1,,,,
Python I Programming Honors,8,2,Problem Solving With Computers,3,,,,
Python I Programming Honors,9,2,Problem Solving With Computers,4,,,,
Python I Programming Honors,10,3,Basic Python and Console Interaction,1,,,,
Python I Programming Honors,11,3,Basic Python and Console Interaction,2,,,,
Python I Programming Honors,12,3,Basic Python and Console Interaction,3,,,,
Python I Programming Honors,13,3,Basic Python and Console Interaction,4,,,,
Python I Programming Honors,14,3,Basic Python and Console Interaction,6,,,,
Python I Programming Honors,15,3,Basic Python and Console Interaction,7,,,,
Python I Programming Honors,16,3,Basic Python and Console Interaction,8,,,,
Python I Programming Honors,17,3,Basic Python and Console Interaction,9,,,,
Python I Programming Honors,18,4,Conditionals,2,,,,
Python I Programming Honors,19,4,Conditionals,3,,,,
Python I Programming Honors,20,4,Conditionals,4,,,,
Python I Programming Honors,21,4,Conditionals,5,,,,
Python I Programming Honors,22,4,Conditionals,6,,,,
Python I Programming Honors,23,4,Conditionals,7,,,,
Python I Programming Honors,24,4,Conditionals,8,,,,
Python I Programming Honors,25,5,Looping,1,,,,
Python I Programming Honors,26,5,Looping,2,,,,
Python I Programming Honors,27,5,Looping,3,,,,
Python I Programming Honors,28,5,Looping,4,,,,
Python I Programming Honors,29,5,Looping,5,,,,
Python I Programming Honors,30,5,Looping,6,,,,
Python I Programming Honors,31,5,Looping,7,,,,
Python I Programming Honors,32,6,Functions and Exceptions,1,,,,
Python I Programming Honors,33,6,Functions and Exceptions,2,,,,
Python I Programming Honors,34,6,Functions and Exceptions,3,,,,
Python I Programming Honors,35,6,Functions and Exceptions,4,,,,
Python I Programming Honors,36,6,Functions and Exceptions,5,,,,
Python I Programming Honors,37,6,Functions and Exceptions,6,,,,
Python I Programming Honors,38,6,Functions and Exceptions,7,,,,
Python I Programming Honors,39,6,Functions and Exceptions,8,,,,
Python I Programming Honors,40,-1,Midterm Review & Exam,1,,,,
Python I Programming Honors,41,-1,Midterm Review & Exam,2,,,,
Python I Programming Honors,42,-1,Midterm Review & Exam,3,,,,
Python I Programming Honors,43,-1,Midterm Review & Exam,4,,,,
Python I Programming Honors,44,-1,Midterm Review & Exam,5,,,,
Python I Programming Honors,45,-1,Midterm Review & Exam,6,,,,
Python I Programming Honors,46,-1,Midterm Review & Exam,7,,,,
Python I Programming Honors,47,-1,Midterm Review & Exam,8,,,,
Python I Programming Honors,48,7,Strings,1,,,,
Python I Programming Honors,49,7,Strings,2,,,,
Python I Programming Honors,50,7,Strings,3,,,,
Python I Programming Honors,51,7,Strings,4,,,,
Python I Programming Honors,52,7,Strings,5,,,,
Python I Programming Honors,53,7,Strings,6,,,,
Python I Programming Honors,54,7,Strings,7,,,,
Python I Programming Honors,55,8,Data Structures,1,,,,
Python I Programming Honors,56,8,Data Structures,2,,,,
Python I Programming Honors,57,8,Data Structures,3,,,,
Python I Programming Honors,58,8,Data Structures,4,,,,
Python I Programming Honors,59,8,Data Structures,5,,,,
Python I Programming Honors,60,8,Data Structures,6,,,,
Python I Programming Honors,61,8,Data Structures,7,,,,
Python I Programming Honors,62,8,Data Structures,8,,,,
Python I Programming Honors,63,8,Data Structures,9,,,,
Python I Programming Honors,64,9,Text Files,1,,,,
Python I Programming Honors,65,9,Text Files,2,,,,
Python I Programming Honors,66,9,Text Files,3,,,,
Python I Programming Honors,67,9,Text Files,4,,,,
Python I Programming Honors,68,9,Text Files,5,,,,
