course_name,day_num,unit_num,unit_descr,lesson_num,lesson_descr,std_num,std_descr,date,term_id,term_name
Python I Programming Honors,1,0,Setup and intros,1,,0,,2024-08-26,20240826,Fall 2024
Python I Programming Honors,2,0,Setup and intros,2,,0,,2024-08-27,20240826,Fall 2024
Python I Programming Honors,3,0,Setup and intros,3,,0,,2024-08-28,20240826,Fall 2024
Python I Programming Honors,4,1,"Ethics, Security and History of Computer Programming",1,,0,,2024-08-29,20240826,Fall 2024
Python I Programming Honors,5,1,"Ethics, Security and History of Computer Programming",2,,0,,2024-08-30,20240826,Fall 2024
Python I Programming Honors,6,1,"Ethics, Security and History of Computer Programming",4,,0,,2024-09-03,20240826,Fall 2024
Python I Programming Honors,7,2,Problem Solving With Computers,1,,0,,2024-09-04,20240826,Fall 2024
Python I Programming Honors,8,2,Problem Solving With Computers,3,,0,,2024-09-05,20240826,Fall 2024
Python I Programming Honors,9,2,Problem Solving With Computers,4,,0,,2024-09-06,20240826,Fall 2024
Python I Programming Honors,10,3,Basic Python and Console Interaction,1,,0,,2024-09-09,20240826,Fall 2024
Python I Programming Honors,11,3,Basic Python and Console Interaction,2,,0,,2024-09-10,20240826,Fall 2024
Python I Programming Honors,12,3,Basic Python and Console Interaction,3,,0,,2024-09-11,20240826,Fall 2024
Python I Programming Honors,13,3,Basic Python and Console Interaction,4,,0,,2024-09-12,20240826,Fall 2024
Python I Programming Honors,14,3,Basic Python and Console Interaction,6,,0,,2024-09-13,20240826,Fall 2024
Python I Programming Honors,15,3,Basic Python and Console Interaction,7,,0,,2024-09-16,20240826,Fall 2024
Python I Programming Honors,16,3,Basic Python and Console Interaction,8,,0,,2024-09-17,20240826,Fall 2024
Python I Programming Honors,17,3,Basic Python and Console Interaction,9,,0,,2024-09-18,20240826,Fall 2024
Python I Programming Honors,18,4,Conditionals,2,,0,,2024-09-19,20240826,Fall 2024
Python I Programming Honors,19,4,Conditionals,3,,0,,2024-09-20,20240826,Fall 2024
Python I Programming Honors,20,4,Conditionals,4,,0,,2024-09-23,20240826,Fall 2024
Python I Programming Honors,21,4,Conditionals,5,,0,,2024-09-24,20240826,Fall 2024
Python I Programming Honors,22,4,Conditionals,6,,0,,2024-09-25,20240826,Fall 2024
Python I Programming Honors,23,4,Conditionals,7,,0,,2024-09-26,20240826,Fall 2024
Python I Programming Honors,24,4,Conditionals,8,,0,,2024-09-27,20240826,Fall 2024
Python I Programming Honors,25,5,Looping,1,,0,,2024-09-30,20240826,Fall 2024
Python I Programming Honors,26,5,Looping,2,,0,,2024-10-01,20240826,Fall 2024
Python I Programming Honors,27,5,Looping,3,,0,,2024-10-02,20240826,Fall 2024
Python I Programming Honors,28,5,Looping,4,,0,,2024-10-07,20240826,Fall 2024
Python I Programming Honors,29,5,Looping,5,,0,,2024-10-08,20240826,Fall 2024
Python I Programming Honors,30,5,Looping,6,,0,,2024-10-09,20240826,Fall 2024
Python I Programming Honors,31,5,Looping,7,,0,,2024-10-10,20240826,Fall 2024
Python I Programming Honors,32,6,Functions and Exceptions,1,,0,,2024-10-11,20240826,Fall 2024
Python I Programming Honors,33,6,Functions and Exceptions,2,,0,,2024-10-14,20240826,Fall 2024
